#,Year,Country,City,Date,Countries,All,M,F
66,2025,Australia,Melbourne,,,,,
64,2023,Japan,Chiba,2.7. - 13.7.,,,,
63,2022,Norway,Oslo,6.7. - 16.7.,,,,
61,2020,Russian Federation,St. Petersburg,19.9. - 28.9.,,,,
60,2019,United Kingdom,Bath,11.7. - 22.7.,112,621,556,65
59,2018,Romania,Cluj-Napoca,3.7. - 14.7.,107,594,535,59
58,2017,Brazil,Rio de Janeiro,12.7. - 23.7.,111,615,553,62
57,2016,Hong Kong,Hong Kong,6.7. - 16.7.,109,602,531,71
56,2015,Thailand,Chiang Mai,4.7. - 16.7.,104,577,525,52
55,2014,South Africa,Cape Town,3.7. - 13.7.,101,560,504,56
54,2013,Colombia,Santa Marta,18.7. - 28.7.,97,527,475,52
53,2012,Argentina,Mar del Plata,4.7. - 16.7.,100,547,496,51
52,2011,Netherlands,Amsterdam,12.7. - 24.7.,101,563,506,57
51,2010,Kazakhstan,Astana,2.7. - 14.7.,95,522,469,47
50,2009,Germany,Bremen,10.7. - 22.7.,104,565,506,59
49,2008,Spain,Madrid,10.7. - 22.7.,97,535,480,55
48,2007,Vietnam,Hanoi,19.7. - 31.7.,93,520,471,49
47,2006,Slovenia,Ljubljana,6.7. - 18.7.,90,498,460,38
46,2005,Mexico,Mérida,8.7. - 19.7.,91,513,469,43
45,2004,Greece,Athens,6.7. - 18.7.,85,486,351,37
44,2003,Japan,Tokyo,7.7. - 19.7.,82,457,333,29
43,2002,United Kingdom,Glasgow,19.7. - 30.7.,84,479,341,37
42,2001,United States of America,Washington,1.7. - 14.7.,83,473,440,33
41,2000,Republic of Korea,Taejon,13.7. - 25.7.,82,461,337,31
40,1999,Romania,Bucharest,10.7. - 22.7.,81,450,319,37
39,1998,Taiwan,Taipeh,10.7. - 21.7.,76,419,298,30
38,1997,Argentina,Mar del Plata,18.7. - 31.7.,82,460,318,28
37,1996,India,Mumbai,5.7. - 17.7.,75,424,314,25
36,1995,Canada,Toronto,13.7. - 25.7.,73,412,305,27
35,1994,Hong Kong,Hong Kong,8.7. - 20.7.,69,385,284,26
34,1993,Turkey,Istanbul,13.7. - 24.7.,73,413,297,34
33,1992,Russian Federation,Moscow,10.7. - 21.7.,56,322,271,14
32,1991,Sweden,Sigtuna,12.7. - 23.7.,56,318,277,17
31,1990,People's Republic of China,Beijing,8.7. - 19.7.,54,308,238,12
30,1989,Germany,Braunschweig,13.7. - 24.7.,50,291,212,13
29,1988,Australia,Canberra,9.7. - 21.7.,49,268,251,17
28,1987,Cuba,Havanna,5.7. - 16.7.,42,237,160,7
27,1986,Poland,Warsaw,4.7. - 15.7.,37,210,147,7
26,1985,Finland,Joutsa,29.6. - 11.7.,38,209,151,7
25,1984,Czechoslovakia,Prague,29.6. - 10.7.,34,192,132,3
24,1983,France,Paris,1.7. - 12.7.,32,186,178,8
23,1982,Hungary,Budapest,5.7. - 14.7.,30,119,87,3
22,1981,United States of America,Washington,8.7. - 20.7.,27,185,155,9
21,1979,United Kingdom,London,30.6. - 9.7.,23,166,116,1
20,1978,Romania,Bucharest,3.7. - 10.7.,17,132,112,3
19,1977,Yugoslavia,Belgrade,1.7. - 13.7.,21,155,132,2
18,1976,Austria,Lienz,7.7. - 21.7.,18,139,117,4
17,1975,Bulgaria,Burgas,3.7. - 16.7.,17,135,99,2
16,1974,German Democratic Republic,Erfurt,4.7. - 17.7.,18,140,124,2
15,1973,Union of Soviet Socialist Republics,Moscow,5.7. - 16.7.,16,125,115,2
14,1972,Poland,Toruń,5.7. - 17.7.,14,107,90,2
13,1971,Czechoslovakia,Žilina,10.7. - 21.7.,15,115,98,4
12,1970,Hungary,Keszthely,8.7. - 22.7.,14,112,94,5
11,1969,Romania,Bucharest,5.7. - 20.7.,14,112,95,6
10,1968,Union of Soviet Socialist Republics,Moscow,5.7. - 18.7.,12,96,88,
9,1967,Yugoslavia,Cetinje,2.7. - 13.7.,13,99,82,1
8,1966,Bulgaria,Sofia,1.7. - 14.7.,9,72,59,1
7,1965,German Democratic Republic,Berlin,3.7. - 13.7.,10,80,63,9
6,1964,Union of Soviet Socialist Republics,Moscow,30.6. - 10.7.,9,72,54,4
5,1963,Poland,Wrocław,5.7. - 13.7.,8,64,53,2
4,1962,Czechoslovakia,České Budějovice,7.7. - 15.7.,7,56,48,4
3,1961,Hungary,Veszprém,6.7. - 16.7.,6,48,34,5
2,1960,Romania,Sinaia,18.7. - 26.7.,5,39,32,1
1,1959,Romania,Braşov,21.7. - 31.7.,7,52,41,6
